sample_id,filename,label,member,sequence,sample_type,original_path,notes
m4_8_01,m4_8_01.jpg,8,4,1,digit,original/8/m4_8_01.jpg,成员4；标签依据原文件名；超限图片仅等比缩小，原件归档
m4_8_02,m4_8_02.jpg,8,4,2,digit,original/8/m4_8_02.jpg,成员4；标签依据原文件名；超限图片仅等比缩小，原件归档
m4_8_03,m4_8_03.jpg,8,4,3,digit,original/8/m4_8_03.jpg,成员4；标签依据原文件名；超限图片仅等比缩小，原件归档
m4_8_04,m4_8_04.jpg,8,4,4,digit,original/8/m4_8_04.jpg,成员4；标签依据原文件名；超限图片仅等比缩小，原件归档
m4_8_05,m4_8_05.jpg,8,4,5,digit,original/8/m4_8_05.jpg,成员4；标签依据原文件名；超限图片仅等比缩小，原件归档
m4_9_01,m4_9_01.jpg,9,4,1,digit,original/9/m4_9_01.jpg,成员4；标签依据原文件名；超限图片仅等比缩小，原件归档
m4_9_02,m4_9_02.jpg,9,4,2,digit,original/9/m4_9_02.jpg,成员4；标签依据原文件名；超限图片仅等比缩小，原件归档
m4_9_03,m4_9_03.jpg,9,4,3,digit,original/9/m4_9_03.jpg,成员4；标签依据原文件名；超限图片仅等比缩小，原件归档
m4_9_04,m4_9_04.jpg,9,4,4,digit,original/9/m4_9_04.jpg,成员4；标签依据原文件名；超限图片仅等比缩小，原件归档
m4_9_05,m4_9_05.jpg,9,4,5,digit,original/9/m4_9_05.jpg,成员4；标签依据原文件名；超限图片仅等比缩小，原件归档
m3_0_01,m3_0_01.png,0,3,1,digit,original/0/m3_0_01.png,
m3_0_02,m3_0_02.png,0,3,2,digit,original/0/m3_0_02.png,
m3_0_03,m3_0_03.png,0,3,3,digit,original/0/m3_0_03.png,
m3_0_04,m3_0_04.png,0,3,4,digit,original/0/m3_0_04.png,
m3_0_05,m3_0_05.png,0,3,5,digit,original/0/m3_0_05.png,
m3_1_01,m3_1_01.png,1,3,1,digit,original/1/m3_1_01.png,
m3_1_02,m3_1_02.png,1,3,2,digit,original/1/m3_1_02.png,
m3_1_03,m3_1_03.png,1,3,3,digit,original/1/m3_1_03.png,
m3_1_04,m3_1_04.png,1,3,4,digit,original/1/m3_1_04.png,
m3_1_05,m3_1_05.png,1,3,5,digit,original/1/m3_1_05.png,
m3_2_01,m3_2_01.png,2,3,1,digit,original/2/m3_2_01.png,成员3提交的2_01.png与2_02.png文件及像素完全重复，保留提交记录；统计须注明重复。
m3_2_02,m3_2_02.png,2,3,2,digit,original/2/m3_2_02.png,成员3提交的2_01.png与2_02.png文件及像素完全重复，保留提交记录；统计须注明重复。
m3_2_03,m3_2_03.png,2,3,3,digit,original/2/m3_2_03.png,
m3_2_04,m3_2_04.png,2,3,4,digit,original/2/m3_2_04.png,
m3_2_05,m3_2_05.png,2,3,5,digit,original/2/m3_2_05.png,
m3_3_01,m3_3_01.png,3,3,1,digit,original/3/m3_3_01.png,
m3_3_02,m3_3_02.png,3,3,2,digit,original/3/m3_3_02.png,
m3_3_03,m3_3_03.png,3,3,3,digit,original/3/m3_3_03.png,
m3_3_04,m3_3_04.png,3,3,4,digit,original/3/m3_3_04.png,
m3_3_05,m3_3_05.png,3,3,5,digit,original/3/m3_3_05.png,
m3_4_01,m3_4_01.png,4,3,1,digit,original/4/m3_4_01.png,
m3_4_02,m3_4_02.png,4,3,2,digit,original/4/m3_4_02.png,
m3_4_03,m3_4_03.png,4,3,3,digit,original/4/m3_4_03.png,
m3_4_04,m3_4_04.png,4,3,4,digit,original/4/m3_4_04.png,
m3_4_05,m3_4_05.png,4,3,5,digit,original/4/m3_4_05.png,
m3_5_01,m3_5_01.png,5,3,1,digit,original/5/m3_5_01.png,
m3_5_02,m3_5_02.png,5,3,2,digit,original/5/m3_5_02.png,
m3_5_03,m3_5_03.png,5,3,3,digit,original/5/m3_5_03.png,
m3_5_04,m3_5_04.png,5,3,4,digit,original/5/m3_5_04.png,
m3_5_05,m3_5_05.png,5,3,5,digit,original/5/m3_5_05.png,
m3_6_01,m3_6_01.png,6,3,1,digit,original/6/m3_6_01.png,
m3_6_02,m3_6_02.png,6,3,2,digit,original/6/m3_6_02.png,
m3_6_03,m3_6_03.png,6,3,3,digit,original/6/m3_6_03.png,
m3_6_04,m3_6_04.png,6,3,4,digit,original/6/m3_6_04.png,
m3_6_05,m3_6_05.png,6,3,5,digit,original/6/m3_6_05.png,
m3_7_01,m3_7_01.png,7,3,1,digit,original/7/m3_7_01.png,
m3_7_02,m3_7_02.png,7,3,2,digit,original/7/m3_7_02.png,
m3_7_03,m3_7_03.png,7,3,3,digit,original/7/m3_7_03.png,
m3_7_04,m3_7_04.png,7,3,4,digit,original/7/m3_7_04.png,
m3_7_05,m3_7_05.png,7,3,5,digit,original/7/m3_7_05.png,
m3_8_01,m3_8_01.png,8,3,1,digit,original/8/m3_8_01.png,
m3_8_02,m3_8_02.png,8,3,2,digit,original/8/m3_8_02.png,
m3_8_03,m3_8_03.png,8,3,3,digit,original/8/m3_8_03.png,
m3_8_04,m3_8_04.png,8,3,4,digit,original/8/m3_8_04.png,
m3_8_05,m3_8_05.png,8,3,5,digit,original/8/m3_8_05.png,
m3_9_01,m3_9_01.png,9,3,1,digit,original/9/m3_9_01.png,
m3_9_02,m3_9_02.png,9,3,2,digit,original/9/m3_9_02.png,
m3_9_03,m3_9_03.png,9,3,3,digit,original/9/m3_9_03.png,
m3_9_04,m3_9_04.png,9,3,4,digit,original/9/m3_9_04.png,
m3_9_05,m3_9_05.png,9,3,5,digit,original/9/m3_9_05.png,
m7_0_01,m7_0_01.png,0,7,1,digit,original/0/m7_0_01.png,
m7_0_02,m7_0_02.png,0,7,2,digit,original/0/m7_0_02.png,
m7_0_03,m7_0_03.png,0,7,3,digit,original/0/m7_0_03.png,
m7_0_04,m7_0_04.png,0,7,4,digit,original/0/m7_0_04.png,
m7_0_05,m7_0_05.png,0,7,5,digit,original/0/m7_0_05.png,
m7_1_01,m7_1_01.png,1,7,1,digit,original/1/m7_1_01.png,
m7_1_02,m7_1_02.png,1,7,2,digit,original/1/m7_1_02.png,
m7_1_03,m7_1_03.png,1,7,3,digit,original/1/m7_1_03.png,
m7_1_04,m7_1_04.png,1,7,4,digit,original/1/m7_1_04.png,
m7_1_05,m7_1_05.png,1,7,5,digit,original/1/m7_1_05.png,
m7_2_01,m7_2_01.png,2,7,1,digit,original/2/m7_2_01.png,
m7_2_02,m7_2_02.png,2,7,2,digit,original/2/m7_2_02.png,
m7_2_03,m7_2_03.png,2,7,3,digit,original/2/m7_2_03.png,
m7_2_04,m7_2_04.png,2,7,4,digit,original/2/m7_2_04.png,
m7_2_05,m7_2_05.png,2,7,5,digit,original/2/m7_2_05.png,
m7_3_01,m7_3_01.png,3,7,1,digit,original/3/m7_3_01.png,
m7_3_02,m7_3_02.png,3,7,2,digit,original/3/m7_3_02.png,
m7_3_03,m7_3_03.png,3,7,3,digit,original/3/m7_3_03.png,
m7_3_04,m7_3_04.png,3,7,4,digit,original/3/m7_3_04.png,
m7_3_05,m7_3_05.png,3,7,5,digit,original/3/m7_3_05.png,
m7_4_01,m7_4_01.png,4,7,1,digit,original/4/m7_4_01.png,
m7_4_02,m7_4_02.png,4,7,2,digit,original/4/m7_4_02.png,
m7_4_03,m7_4_03.png,4,7,3,digit,original/4/m7_4_03.png,
m7_4_04,m7_4_04.png,4,7,4,digit,original/4/m7_4_04.png,
m7_4_05,m7_4_05.png,4,7,5,digit,original/4/m7_4_05.png,
m7_5_01,m7_5_01.png,5,7,1,digit,original/5/m7_5_01.png,
m7_5_02,m7_5_02.png,5,7,2,digit,original/5/m7_5_02.png,
m7_5_03,m7_5_03.png,5,7,3,digit,original/5/m7_5_03.png,
m7_5_04,m7_5_04.png,5,7,4,digit,original/5/m7_5_04.png,
m7_5_05,m7_5_05.png,5,7,5,digit,original/5/m7_5_05.png,
m7_6_01,m7_6_01.png,6,7,1,digit,original/6/m7_6_01.png,
m7_6_02,m7_6_02.png,6,7,2,digit,original/6/m7_6_02.png,
m7_6_03,m7_6_03.png,6,7,3,digit,original/6/m7_6_03.png,
m7_6_04,m7_6_04.png,6,7,4,digit,original/6/m7_6_04.png,
m7_6_05,m7_6_05.png,6,7,5,digit,original/6/m7_6_05.png,
m7_7_01,m7_7_01.png,7,7,1,digit,original/7/m7_7_01.png,
m7_7_02,m7_7_02.png,7,7,2,digit,original/7/m7_7_02.png,
m7_7_03,m7_7_03.png,7,7,3,digit,original/7/m7_7_03.png,
m7_7_04,m7_7_04.png,7,7,4,digit,original/7/m7_7_04.png,
m7_7_05,m7_7_05.png,7,7,5,digit,original/7/m7_7_05.png,
m7_8_01,m7_8_01.png,8,7,1,digit,original/8/m7_8_01.png,
m7_8_02,m7_8_02.png,8,7,2,digit,original/8/m7_8_02.png,
m7_8_03,m7_8_03.png,8,7,3,digit,original/8/m7_8_03.png,
m7_8_04,m7_8_04.png,8,7,4,digit,original/8/m7_8_04.png,
m7_8_05,m7_8_05.png,8,7,5,digit,original/8/m7_8_05.png,
m7_9_01,m7_9_01.png,9,7,1,digit,original/9/m7_9_01.png,
m7_9_02,m7_9_02.png,9,7,2,digit,original/9/m7_9_02.png,
m7_9_03,m7_9_03.png,9,7,3,digit,original/9/m7_9_03.png,
m7_9_04,m7_9_04.png,9,7,4,digit,original/9/m7_9_04.png,
m7_9_05,m7_9_05.png,9,7,5,digit,original/9/m7_9_05.png,
